"Nom de l'annonce","Produit","Créateur","Type de contenu","Angle marketing","Hook","Audience","Mois","Nom Ad Set","Nom Campagne","Statut","Date de lancement","Personnes touchées","Impressions","Fréquence","Clics","Conversions (achats)","Budget dépensé (€)","Revenu estimé (€)","ROAS","CPM (€)","Coût par clic (€)","Taux de clic (%)","Coût par conversion (€)","Taux de conversion (%)","Hook rate (%)","Panier moyen (€)","Lien aperçu","ID Ad Set","ID Annonce"
"AG1 Travel Packs - Motion/Vidéo - 30 jours de transformation... - 748","AG1 Travel Packs","Sophia_Wellness","Motion/Vidéo","Bien-être général","30 jours de transformation","Intérêt Nutrition","Août 2025","Intérêt Nutrition - AG1 Travel Packs","Campagne AG1 Travel Packs Août 2025","Archivée","2025-08-18","156382","254909","1.63","6059","526","2409.18","64142.59","26.62","9.45","0.4","2.38","4.58","8.68","48.67","121.94","https://www.facebook.com/ads/library/?id=ad_610419","as_958464","ad_610419"
"AG1 Travel Packs - UGC - Le seul complément dont j'ai b... - 749","AG1 Travel Packs","Ethan_Fuel","UGC","Santé digestive","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Juillet 2025","18-24 ans Étudiants - AG1 Travel Packs","Campagne AG1 Travel Packs Juillet 2025","Archivée","2025-07-14","51813","59455","1.15","141","14","3118.56","1377.09","0.44","52.45","22.12","0.24","222.75","9.93","21.47","98.36","https://www.facebook.com/ads/library/?id=ad_982027","as_283284","ad_982027"
"Bundle Complet - Podcast - 30 jours de transformation... - 750","Bundle Complet","Chloe_Clean","Podcast","Énergie quotidienne","30 jours de transformation","Retargeting 30j","Juillet 2025","Retargeting 30j - Bundle Complet","Campagne Bundle Complet Juillet 2025","Arrêtée","2025-07-12","30965","40888","1.32","1829","208","1096.83","22111.67","20.16","26.83","0.6","4.47","5.27","11.37","56.97","106.31","https://www.facebook.com/ads/library/?id=ad_682621","as_335414","ad_682621"
"Abonnement - Podcast - Je ne peux plus m'en passer... - 751","Abonnement","Ben_Recovery","Podcast","Énergie quotidienne","Je ne peux plus m'en passer","25-34 ans Fitness","Octobre 2025","25-34 ans Fitness - Abonnement","Campagne Abonnement Octobre 2025","Archivée","2025-10-19","105489","146655","1.39","167","1","4714.62","73.38","0.02","32.15","28.23","0.11","4714.62","0.6","31.4","73.38","https://www.facebook.com/ads/library/?id=ad_816398","as_618915","ad_816398"
"Abonnement - Podcast - Ce que je prends chaque matin... - 752","Abonnement","Lucas_Active","Podcast","Énergie quotidienne","Ce que je prends chaque matin","18-24 ans Étudiants","Août 2025","18-24 ans Étudiants - Abonnement","Campagne Abonnement Août 2025","En ligne","2025-08-05","130421","165658","1.27","6369","913","2333.04","134128.60","57.49","14.08","0.37","3.84","2.56","14.34","48.56","146.91","https://www.facebook.com/ads/library/?id=ad_453911","as_865731","ad_453911"
"AG1 Powder - UGC - 30 jours de transformation... - 753","AG1 Powder","Marcus_Fit","UGC","Anti-fatigue","30 jours de transformation","35-44 ans Santé","Juillet 2025","35-44 ans Santé - AG1 Powder","Campagne AG1 Powder Juillet 2025","En ligne","2025-07-05","396524","476129","1.2","6030","489","3260.00","63562.24","19.5","6.85","0.54","1.27","6.67","8.11","52.53","129.98","https://www.facebook.com/ads/library/?id=ad_334556","as_975691","ad_334556"
"AG1 Travel Packs - UGC - 30 jours de transformation... - 754","AG1 Travel Packs","Chris_Endurance","UGC","Concentration mentale","30 jours de transformation","LAL Purchasers","Octobre 2025","LAL Purchasers - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","Arrêtée","2025-10-28","256363","347794","1.36","11957","784","3005.20","76676.04","25.51","8.64","0.25","3.44","3.83","6.56","55.83","97.80","https://www.facebook.com/ads/library/?id=ad_895690","as_239299","ad_895690"
"AG1 Travel Packs - UGC - Mon secret énergie révélé... - 755","AG1 Travel Packs","Noah_Vitality","UGC","Concentration mentale","Mon secret énergie révélé","35-44 ans Santé","Septembre 2025","35-44 ans Santé - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","Archivée","2025-09-01","131916","201379","1.53","8996","587","607.81","47996.14","78.97","3.02","0.07","4.47","1.04","6.53","24.68","81.77","https://www.facebook.com/ads/library/?id=ad_412608","as_462805","ad_412608"
"Shaker - Image statique - Le matin parfait commence par.... - 756","Shaker","Ben_Recovery","Image statique","Énergie quotidienne","Le matin parfait commence par...","25-34 ans Fitness","Septembre 2025","25-34 ans Fitness - Shaker","Campagne Shaker Septembre 2025","Arrêtée","2025-09-06","227950","321862","1.41","4188","400","2682.16","52684.93","19.64","8.33","0.64","1.3","6.71","9.55","48.68","131.71","https://www.facebook.com/ads/library/?id=ad_307879","as_601448","ad_307879"
"AG1 Powder - UGC - Les 3 raisons pour lesquelles ... - 757","AG1 Powder","Lucas_Active","UGC","Concentration mentale","Les 3 raisons pour lesquelles j'adore","25-34 ans Fitness","Juillet 2025","25-34 ans Fitness - AG1 Powder","Campagne AG1 Powder Juillet 2025","Archivée","2025-07-09","273218","377324","1.38","11729","1327","4944.28","156312.16","31.61","13.1","0.42","3.11","3.73","11.31","22.19","117.79","https://www.facebook.com/ads/library/?id=ad_229978","as_340070","ad_229978"
"Shaker - Podcast - Ce que je prends chaque matin... - 758","Shaker","Lucas_Active","Podcast","Immunité renforcée","Ce que je prends chaque matin","35-44 ans Santé","Octobre 2025","35-44 ans Santé - Shaker","Campagne Shaker Octobre 2025","En pause","2025-10-17","61648","93339","1.51","3127","100","1961.22","9997.56","5.1","21.01","0.63","3.35","19.61","3.2","57.08","99.98","https://www.facebook.com/ads/library/?id=ad_929722","as_700812","ad_929722"
"AG1 Travel Packs - Podcast - Le seul complément dont j'ai b... - 759","AG1 Travel Packs","Chris_Endurance","Podcast","Performance sportive","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","Arrêtée","2025-09-05","49603","64723","1.3","569","49","1066.81","5723.41","5.36","16.48","1.87","0.88","21.77","8.61","22.44","116.80","https://www.facebook.com/ads/library/?id=ad_354844","as_936695","ad_354844"
"Omega-3 - Motion/Vidéo - Pourquoi j'ai changé d'avis su... - 760","Omega-3","Ava_Balance","Motion/Vidéo","Performance sportive","Pourquoi j'ai changé d'avis sur les compléments","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Novembre 2025","En ligne","2025-11-15","198123","297611","1.5","8901","1054","2848.33","88975.62","31.24","9.57","0.32","2.99","2.7","11.84","18.25","84.42","https://www.facebook.com/ads/library/?id=ad_373688","as_545773","ad_373688"
"Omega-3 - Image statique - Mon secret énergie révélé... - 761","Omega-3","Chloe_Clean","Image statique","Concentration mentale","Mon secret énergie révélé","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Omega-3","Campagne Omega-3 Septembre 2025","Archivée","2025-09-07","324515","383470","1.18","15728","1470","3089.83","152040.27","49.21","8.06","0.2","4.1","2.1","9.35","40.73","103.43","https://www.facebook.com/ads/library/?id=ad_504879","as_868728","ad_504879"
"Vitamine D3+K2 - Podcast - Pourquoi j'ai changé d'avis su... - 762","Vitamine D3+K2","Jake_Strong","Podcast","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","LAL Purchasers","Juillet 2025","LAL Purchasers - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","Arrêtée","2025-07-14","166171","200448","1.21","515","0","135.33","0.00","0","0.68","0.26","0.26","0","0","50.36","95.30","https://www.facebook.com/ads/library/?id=ad_725831","as_782440","ad_725831"
"Bundle Complet - Motion/Vidéo - Le seul complément dont j'ai b... - 763","Bundle Complet","Chris_Endurance","Motion/Vidéo","Énergie quotidienne","Le seul complément dont j'ai besoin","LAL Purchasers","Septembre 2025","LAL Purchasers - Bundle Complet","Campagne Bundle Complet Septembre 2025","Arrêtée","2025-09-28","36866","44678","1.21","1279","143","4832.38","10723.42","2.22","108.16","3.78","2.86","33.79","11.18","21.03","74.99","https://www.facebook.com/ads/library/?id=ad_566244","as_183208","ad_566244"
"AG1 Travel Packs - Podcast - 30 jours de transformation... - 764","AG1 Travel Packs","Chloe_Clean","Podcast","Nutrition optimale","30 jours de transformation","18-24 ans Étudiants","Juillet 2025","18-24 ans Étudiants - AG1 Travel Packs","Campagne AG1 Travel Packs Juillet 2025","En ligne","2025-07-27","321670","384272","1.19","2842","20","4230.54","1646.62","0.39","11.01","1.49","0.74","211.53","0.7","43.83","82.33","https://www.facebook.com/ads/library/?id=ad_611400","as_533984","ad_611400"
"Omega-3 - Motion/Vidéo - Je ne peux plus m'en passer... - 765","Omega-3","Chloe_Clean","Motion/Vidéo","Performance sportive","Je ne peux plus m'en passer","18-24 ans Étudiants","Novembre 2025","18-24 ans Étudiants - Omega-3","Campagne Omega-3 Novembre 2025","Arrêtée","2025-11-03","63453","96646","1.52","3672","453","1308.88","30561.68","23.35","13.54","0.36","3.8","2.89","12.34","23.43","67.47","https://www.facebook.com/ads/library/?id=ad_494266","as_434071","ad_494266"
"Bundle Complet - Motion/Vidéo - Pourquoi j'ai changé d'avis su... - 766","Bundle Complet","Ava_Balance","Motion/Vidéo","Santé digestive","Pourquoi j'ai changé d'avis sur les compléments","Broad FR","Août 2025","Broad FR - Bundle Complet","Campagne Bundle Complet Août 2025","En ligne","2025-08-08","194070","226671","1.17","6555","352","3977.34","23477.49","5.9","17.55","0.61","2.89","11.3","5.37","59.28","66.70","https://www.facebook.com/ads/library/?id=ad_561033","as_150789","ad_561033"
"Vitamine D3+K2 - Podcast - Le matin parfait commence par.... - 767","Vitamine D3+K2","Ethan_Fuel","Podcast","Santé digestive","Le matin parfait commence par...","25-34 ans Fitness","Octobre 2025","25-34 ans Fitness - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","Archivée","2025-10-02","81051","107733","1.33","234","12","1649.97","1436.17","0.87","15.32","7.05","0.22","137.5","5.13","59.74","119.68","https://www.facebook.com/ads/library/?id=ad_422139","as_174731","ad_422139"
"Vitamine D3+K2 - Témoignage - 30 jours de transformation... - 768","Vitamine D3+K2","Chloe_Clean","Témoignage","Santé digestive","30 jours de transformation","35-44 ans Santé","Novembre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Novembre 2025","En pause","2025-11-05","274114","317805","1.16","8201","1227","4944.91","177794.43","35.96","15.56","0.6","2.58","4.03","14.96","48.59","144.90","https://www.facebook.com/ads/library/?id=ad_984832","as_527099","ad_984832"
"AG1 Travel Packs - Image statique - Le seul complément dont j'ai b... - 769","AG1 Travel Packs","Mia_Mindful","Image statique","Nutrition optimale","Le seul complément dont j'ai besoin","LAL Purchasers","Octobre 2025","LAL Purchasers - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","En ligne","2025-10-03","397573","452491","1.14","7858","1037","2908.82","96569.59","33.2","6.43","0.37","1.74","2.81","13.2","16.36","93.12","https://www.facebook.com/ads/library/?id=ad_930334","as_566118","ad_930334"
"AG1 Powder - Motion/Vidéo - Le matin parfait commence par.... - 770","AG1 Powder","—","Motion/Vidéo","Bien-être général","Le matin parfait commence par...","35-44 ans Santé","Juillet 2025","35-44 ans Santé - AG1 Powder","Campagne AG1 Powder Juillet 2025","Arrêtée","2025-07-11","49402","62847","1.27","2102","172","4243.89","16458.21","3.88","67.53","2.02","3.34","24.67","8.18","57.1","95.69","https://www.facebook.com/ads/library/?id=ad_551018","as_156498","ad_551018"
"Bundle Complet - Motion/Vidéo - Ce que je prends chaque matin... - 771","Bundle Complet","Sophia_Wellness","Motion/Vidéo","Immunité renforcée","Ce que je prends chaque matin","LAL Purchasers","Août 2025","LAL Purchasers - Bundle Complet","Campagne Bundle Complet Août 2025","Arrêtée","2025-08-24","144255","228976","1.59","10094","791","3926.47","64408.72","16.4","17.15","0.39","4.41","4.96","7.84","34.78","81.43","https://www.facebook.com/ads/library/?id=ad_470761","as_141202","ad_470761"
"AG1 Powder - Podcast - Les 3 raisons pour lesquelles ... - 772","AG1 Powder","Ben_Recovery","Podcast","Anti-fatigue","Les 3 raisons pour lesquelles j'adore","18-24 ans Étudiants","Août 2025","18-24 ans Étudiants - AG1 Powder","Campagne AG1 Powder Août 2025","Arrêtée","2025-08-19","265552","380365","1.43","17044","2138","3417.23","249625.82","73.05","8.98","0.2","4.48","1.6","12.54","35.28","116.76","https://www.facebook.com/ads/library/?id=ad_469373","as_338917","ad_469373"
"Vitamine D3+K2 - Image statique - Le matin parfait commence par.... - 773","Vitamine D3+K2","Marcus_Fit","Image statique","Concentration mentale","Le matin parfait commence par...","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","En ligne","2025-09-11","84742","125771","1.48","4435","224","3233.39","25633.59","7.93","25.71","0.73","3.53","14.43","5.05","22.57","114.44","https://www.facebook.com/ads/library/?id=ad_810348","as_419990","ad_810348"
"Vitamine D3+K2 - Podcast - Je ne peux plus m'en passer... - 774","Vitamine D3+K2","Olivia_Green","Podcast","Immunité renforcée","Je ne peux plus m'en passer","Retargeting 30j","Septembre 2025","Retargeting 30j - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","Archivée","2025-09-01","170427","282754","1.66","8495","397","4816.04","45926.62","9.54","17.03","0.57","3","12.13","4.67","31.12","115.68","https://www.facebook.com/ads/library/?id=ad_453753","as_132905","ad_453753"
"AG1 Powder - Motion/Vidéo - 30 jours de transformation... - 775","AG1 Powder","Ava_Balance","Motion/Vidéo","Nutrition optimale","30 jours de transformation","LAL Purchasers","Octobre 2025","LAL Purchasers - AG1 Powder","Campagne AG1 Powder Octobre 2025","En pause","2025-10-05","235301","289210","1.23","911","133","2197.58","18105.62","8.24","7.6","2.41","0.31","16.52","14.6","23.88","136.13","https://www.facebook.com/ads/library/?id=ad_983356","as_116191","ad_983356"
"Vitamine D3+K2 - Podcast - Le matin parfait commence par.... - 776","Vitamine D3+K2","Zoe_Energy","Podcast","Bien-être général","Le matin parfait commence par...","35-44 ans Santé","Octobre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","En pause","2025-10-15","9742","15290","1.57","663","95","2531.23","12869.35","5.08","165.55","3.82","4.34","26.64","14.33","46.57","135.47","https://www.facebook.com/ads/library/?id=ad_176673","as_823511","ad_176673"
"Omega-3 - UGC - Ce que je prends chaque matin... - 777","Omega-3","Ethan_Fuel","UGC","Santé digestive","Ce que je prends chaque matin","35-44 ans Santé","Juillet 2025","35-44 ans Santé - Omega-3","Campagne Omega-3 Juillet 2025","Arrêtée","2025-07-24","258261","418854","1.62","13181","925","3271.16","128209.32","39.19","7.81","0.25","3.15","3.54","7.02","44.09","138.60","https://www.facebook.com/ads/library/?id=ad_723359","as_143205","ad_723359"
"Abonnement - Podcast - Les 3 raisons pour lesquelles ... - 778","Abonnement","Ethan_Fuel","Podcast","Immunité renforcée","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Juillet 2025","Intérêt Nutrition - Abonnement","Campagne Abonnement Juillet 2025","En ligne","2025-07-16","40071","59110","1.48","1129","83","3991.63","12342.47","3.09","67.53","3.54","1.91","48.09","7.35","32.29","148.70","https://www.facebook.com/ads/library/?id=ad_492185","as_147890","ad_492185"
"Shaker - Témoignage - Pourquoi j'ai changé d'avis su... - 779","Shaker","Chloe_Clean","Témoignage","Performance sportive","Pourquoi j'ai changé d'avis sur les compléments","18-24 ans Étudiants","Août 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Août 2025","En ligne","2025-08-09","67605","83015","1.23","3644","396","153.02","49019.74","320.34","1.84","0.04","4.39","0.39","10.87","29.41","123.79","https://www.facebook.com/ads/library/?id=ad_518489","as_807788","ad_518489"
"Shaker - Podcast - Ce que je prends chaque matin... - 780","Shaker","Zoe_Energy","Podcast","Performance sportive","Ce que je prends chaque matin","LAL Purchasers","Août 2025","LAL Purchasers - Shaker","Campagne Shaker Août 2025","Arrêtée","2025-08-14","117135","154200","1.32","3977","284","4873.34","21465.05","4.4","31.6","1.23","2.58","17.16","7.14","51.82","75.58","https://www.facebook.com/ads/library/?id=ad_914096","as_196063","ad_914096"
"Vitamine D3+K2 - Image statique - Le seul complément dont j'ai b... - 781","Vitamine D3+K2","Ethan_Fuel","Image statique","Performance sportive","Le seul complément dont j'ai besoin","Retargeting 30j","Novembre 2025","Retargeting 30j - Vitamine D3+K2","Campagne Vitamine D3+K2 Novembre 2025","En pause","2025-11-08","123064","186623","1.52","2602","334","2633.84","43335.05","16.45","14.11","1.01","1.39","7.89","12.84","29.97","129.75","https://www.facebook.com/ads/library/?id=ad_607179","as_165164","ad_607179"
"AG1 Powder - Motion/Vidéo - 30 jours de transformation... - 782","AG1 Powder","Ava_Balance","Motion/Vidéo","Concentration mentale","30 jours de transformation","18-24 ans Étudiants","Août 2025","18-24 ans Étudiants - AG1 Powder","Campagne AG1 Powder Août 2025","Archivée","2025-08-28","185801","297152","1.6","1153","90","4268.62","6060.94","1.42","14.37","3.7","0.39","47.43","7.81","20.69","67.34","https://www.facebook.com/ads/library/?id=ad_221340","as_927322","ad_221340"
"AG1 Travel Packs - Image statique - Mon secret énergie révélé... - 783","AG1 Travel Packs","Ben_Recovery","Image statique","Bien-être général","Mon secret énergie révélé","LAL Purchasers","Octobre 2025","LAL Purchasers - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","En pause","2025-10-10","11039","17078","1.55","446","28","3400.32","2976.35","0.88","199.11","7.62","2.61","121.44","6.28","59.48","106.30","https://www.facebook.com/ads/library/?id=ad_288895","as_775546","ad_288895"
"AG1 Travel Packs - Motion/Vidéo - Le seul complément dont j'ai b... - 784","AG1 Travel Packs","Emma_Health","Motion/Vidéo","Énergie quotidienne","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Novembre 2025","18-24 ans Étudiants - AG1 Travel Packs","Campagne AG1 Travel Packs Novembre 2025","En ligne","2025-11-14","84269","128615","1.53","4838","210","4145.38","14383.21","3.47","32.23","0.86","3.76","19.74","4.34","22.24","68.49","https://www.facebook.com/ads/library/?id=ad_122817","as_452930","ad_122817"
"Abonnement - Témoignage - Le seul complément dont j'ai b... - 785","Abonnement","Marcus_Fit","Témoignage","Santé digestive","Le seul complément dont j'ai besoin","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - Abonnement","Campagne Abonnement Novembre 2025","Archivée","2025-11-18","236896","350611","1.48","12045","14","4394.21","1934.43","0.44","12.53","0.36","3.44","313.87","0.12","53.42","138.17","https://www.facebook.com/ads/library/?id=ad_411182","as_463032","ad_411182"
"AG1 Travel Packs - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 786","AG1 Travel Packs","Ben_Recovery","Motion/Vidéo","Énergie quotidienne","Les 3 raisons pour lesquelles j'adore","35-44 ans Santé","Août 2025","35-44 ans Santé - AG1 Travel Packs","Campagne AG1 Travel Packs Août 2025","En ligne","2025-08-15","95125","147897","1.55","3126","332","1978.58","29444.72","14.88","13.38","0.63","2.11","5.96","10.62","46.96","88.69","https://www.facebook.com/ads/library/?id=ad_123554","as_826312","ad_123554"
"AG1 Travel Packs - Podcast - Ce que je prends chaque matin... - 787","AG1 Travel Packs","Mia_Mindful","Podcast","Anti-fatigue","Ce que je prends chaque matin","Broad FR","Septembre 2025","Broad FR - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","Archivée","2025-09-10","148970","211348","1.42","824","66","697.92","3966.12","5.68","3.3","0.85","0.39","10.57","8.01","17.28","60.09","https://www.facebook.com/ads/library/?id=ad_153009","as_493850","ad_153009"
"Vitamine D3+K2 - UGC - Les 3 raisons pour lesquelles ... - 788","Vitamine D3+K2","Zoe_Energy","UGC","Bien-être général","Les 3 raisons pour lesquelles j'adore","25-34 ans Fitness","Octobre 2025","25-34 ans Fitness - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","En pause","2025-10-14","152380","224442","1.47","9369","1119","590.24","116872.10","198.01","2.63","0.06","4.17","0.53","11.94","43.94","104.44","https://www.facebook.com/ads/library/?id=ad_699697","as_716090","ad_699697"
"Vitamine D3+K2 - Témoignage - Je ne peux plus m'en passer... - 789","Vitamine D3+K2","Lucas_Active","Témoignage","Performance sportive","Je ne peux plus m'en passer","LAL Purchasers","Juillet 2025","LAL Purchasers - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En pause","2025-07-01","264881","346275","1.31","13967","392","4045.42","49174.88","12.16","11.68","0.29","4.03","10.32","2.81","32.89","125.45","https://www.facebook.com/ads/library/?id=ad_743175","as_486516","ad_743175"
"Vitamine D3+K2 - Motion/Vidéo - Le matin parfait commence par.... - 790","Vitamine D3+K2","Sophia_Wellness","Motion/Vidéo","Santé digestive","Le matin parfait commence par...","LAL Purchasers","Juillet 2025","LAL Purchasers - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En ligne","2025-07-20","223960","317198","1.42","7297","844","2516.77","65893.83","26.18","7.93","0.34","2.3","2.98","11.57","41.15","78.07","https://www.facebook.com/ads/library/?id=ad_957310","as_629337","ad_957310"
"Bundle Complet - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 791","Bundle Complet","Noah_Vitality","Motion/Vidéo","Santé digestive","Les 3 raisons pour lesquelles j'adore","18-24 ans Étudiants","Août 2025","18-24 ans Étudiants - Bundle Complet","Campagne Bundle Complet Août 2025","En ligne","2025-08-11","205712","277027","1.35","6309","608","1598.36","36630.01","22.92","5.77","0.25","2.28","2.63","9.64","26.06","60.25","https://www.facebook.com/ads/library/?id=ad_643271","as_244430","ad_643271"
"AG1 Travel Packs - Podcast - 30 jours de transformation... - 792","AG1 Travel Packs","Olivia_Green","Podcast","Nutrition optimale","30 jours de transformation","Broad FR","Octobre 2025","Broad FR - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","Arrêtée","2025-10-18","26074","35484","1.36","821","11","4969.76","1006.97","0.2","140.06","6.05","2.31","451.8","1.34","34.8","91.54","https://www.facebook.com/ads/library/?id=ad_344019","as_156995","ad_344019"
"AG1 Powder - Podcast - Pourquoi j'ai changé d'avis su... - 793","AG1 Powder","Marcus_Fit","Podcast","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","Broad FR","Septembre 2025","Broad FR - AG1 Powder","Campagne AG1 Powder Septembre 2025","En pause","2025-09-08","78079","120545","1.54","3755","273","1048.59","24304.79","23.18","8.7","0.28","3.12","3.84","7.27","19.07","89.03","https://www.facebook.com/ads/library/?id=ad_857554","as_895078","ad_857554"
"Vitamine D3+K2 - Image statique - 30 jours de transformation... - 794","Vitamine D3+K2","Noah_Vitality","Image statique","Anti-fatigue","30 jours de transformation","45-54 ans Wellness","Juillet 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En pause","2025-07-26","85670","130112","1.52","2742","58","3458.27","6208.27","1.8","26.58","1.26","2.11","59.63","2.12","30.63","107.04","https://www.facebook.com/ads/library/?id=ad_782534","as_312787","ad_782534"
"AG1 Powder - Témoignage - Le seul complément dont j'ai b... - 795","AG1 Powder","Noah_Vitality","Témoignage","Performance sportive","Le seul complément dont j'ai besoin","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - AG1 Powder","Campagne AG1 Powder Septembre 2025","Arrêtée","2025-09-02","113067","166432","1.47","6481","413","1871.06","60465.75","32.32","11.24","0.29","3.89","4.53","6.37","48.78","146.41","https://www.facebook.com/ads/library/?id=ad_859482","as_864317","ad_859482"
"Bundle Complet - Podcast - Mon secret énergie révélé... - 796","Bundle Complet","Mia_Mindful","Podcast","Concentration mentale","Mon secret énergie révélé","35-44 ans Santé","Août 2025","35-44 ans Santé - Bundle Complet","Campagne Bundle Complet Août 2025","Arrêtée","2025-08-15","79112","96681","1.22","1507","30","1510.88","2693.28","1.78","15.63","1","1.56","50.36","1.99","42.22","89.78","https://www.facebook.com/ads/library/?id=ad_550044","as_390805","ad_550044"
"Omega-3 - Témoignage - 30 jours de transformation... - 797","Omega-3","Ethan_Fuel","Témoignage","Anti-fatigue","30 jours de transformation","LAL Purchasers","Novembre 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Novembre 2025","En pause","2025-11-11","288115","404985","1.41","19008","1149","582.18","160621.54","275.89","1.44","0.03","4.69","0.51","6.04","50.82","139.79","https://www.facebook.com/ads/library/?id=ad_425934","as_672647","ad_425934"
"Abonnement - Podcast - Je ne peux plus m'en passer... - 798","Abonnement","Marcus_Fit","Podcast","Bien-être général","Je ne peux plus m'en passer","LAL Purchasers","Novembre 2025","LAL Purchasers - Abonnement","Campagne Abonnement Novembre 2025","Archivée","2025-11-10","207544","291059","1.4","773","111","2633.78","14907.34","5.66","9.05","3.41","0.27","23.73","14.36","25.61","134.30","https://www.facebook.com/ads/library/?id=ad_146802","as_743011","ad_146802"
"Omega-3 - Témoignage - 30 jours de transformation... - 799","Omega-3","—","Témoignage","Immunité renforcée","30 jours de transformation","45-54 ans Wellness","Octobre 2025","45-54 ans Wellness - Omega-3","Campagne Omega-3 Octobre 2025","En ligne","2025-10-26","75402","97580","1.29","4407","139","1952.03","16654.67","8.53","20","0.44","4.52","14.04","3.15","56.64","119.82","https://www.facebook.com/ads/library/?id=ad_521273","as_663051","ad_521273"
"AG1 Travel Packs - Témoignage - Le matin parfait commence par.... - 800","AG1 Travel Packs","Sophia_Wellness","Témoignage","Santé digestive","Le matin parfait commence par...","Intérêt Nutrition","Septembre 2025","Intérêt Nutrition - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","Arrêtée","2025-09-08","158553","220871","1.39","7913","885","635.96","55813.34","87.76","2.88","0.08","3.58","0.72","11.18","21.05","63.07","https://www.facebook.com/ads/library/?id=ad_660616","as_206363","ad_660616"
"Omega-3 - Podcast - Le seul complément dont j'ai b... - 801","Omega-3","Olivia_Green","Podcast","Performance sportive","Le seul complément dont j'ai besoin","LAL Purchasers","Juillet 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Juillet 2025","En pause","2025-07-20","221581","262826","1.19","12449","59","3462.36","3909.99","1.13","13.17","0.28","4.74","58.68","0.47","56.33","66.27","https://www.facebook.com/ads/library/?id=ad_391042","as_172539","ad_391042"
"Omega-3 - Image statique - Ce que je prends chaque matin... - 802","Omega-3","Ethan_Fuel","Image statique","Performance sportive","Ce que je prends chaque matin","LAL Purchasers","Septembre 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Septembre 2025","Archivée","2025-09-02","61752","98671","1.6","2058","216","3241.68","19041.99","5.87","32.85","1.58","2.09","15.01","10.5","58.39","88.16","https://www.facebook.com/ads/library/?id=ad_862576","as_581457","ad_862576"
"Shaker - Image statique - Pourquoi j'ai changé d'avis su... - 803","Shaker","Zoe_Energy","Image statique","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","Retargeting 30j","Juillet 2025","Retargeting 30j - Shaker","Campagne Shaker Juillet 2025","En ligne","2025-07-04","260044","387113","1.49","4489","469","3880.17","56494.70","14.56","10.02","0.86","1.16","8.27","10.45","43.1","120.46","https://www.facebook.com/ads/library/?id=ad_451250","as_751191","ad_451250"
"Abonnement - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 804","Abonnement","Sophia_Wellness","Motion/Vidéo","Performance sportive","Les 3 raisons pour lesquelles j'adore","LAL Purchasers","Juillet 2025","LAL Purchasers - Abonnement","Campagne Abonnement Juillet 2025","Arrêtée","2025-07-17","116084","163538","1.41","6926","736","2678.10","81101.54","30.28","16.38","0.39","4.24","3.64","10.63","23.24","110.19","https://www.facebook.com/ads/library/?id=ad_376209","as_757440","ad_376209"
